Date,"Close Price"
"2015-02-08 00:00:00",227.33
"2015-02-08 00:01:00",227.27
"2015-02-08 00:02:00",227.24
"2015-02-08 00:03:00",227.26
"2015-02-08 00:04:00",227.3
"2015-02-08 00:05:00",227.32
"2015-02-08 00:06:00",227.42
"2015-02-08 00:07:00",227.45
"2015-02-08 00:08:00",227.5
"2015-02-08 00:09:00",227.56
"2015-02-08 00:10:00",227.56
"2015-02-08 00:11:00",227.54
"2015-02-08 00:12:00",227.43
"2015-02-08 00:13:00",227.44
"2015-02-08 00:14:00",227.44
"2015-02-08 00:15:00",227.45
"2015-02-08 00:16:00",227.51
"2015-02-08 00:17:00",227.47
"2015-02-08 00:18:00",227.56
"2015-02-08 00:19:00",227.49
"2015-02-08 00:20:00",227.53
"2015-02-08 00:21:00",227.53
"2015-02-08 00:22:00",227.57
"2015-02-08 00:23:00",227.6
"2015-02-08 00:24:00",227.49
"2015-02-08 00:25:00",227.31
"2015-02-08 00:26:00",227.24
"2015-02-08 00:27:00",227.03
"2015-02-08 00:28:00",227
"2015-02-08 00:29:00",226.99
"2015-02-08 00:30:00",226.99
"2015-02-08 00:31:00",226.84
"2015-02-08 00:32:00",226.72
"2015-02-08 00:33:00",226.71
"2015-02-08 00:34:00",226.74
"2015-02-08 00:35:00",226.74
"2015-02-08 00:36:00",226.74
"2015-02-08 00:37:00",226.85
"2015-02-08 00:38:00",226.84
"2015-02-08 00:39:00",226.91
"2015-02-08 00:40:00",226.97
"2015-02-08 00:41:00",226.8
"2015-02-08 00:42:00",226.86
"2015-02-08 00:43:00",226.96
"2015-02-08 00:44:00",226.8
"2015-02-08 00:45:00",226.8
"2015-02-08 00:46:00",226.64
"2015-02-08 00:47:00",226.63
"2015-02-08 00:48:00",226.76
"2015-02-08 00:49:00",226.7
"2015-02-08 00:50:00",226.65
"2015-02-08 00:51:00",226.69
"2015-02-08 00:52:00",226.72
"2015-02-08 00:53:00",226.71
"2015-02-08 00:54:00",226.72
"2015-02-08 00:55:00",226.92
"2015-02-08 00:56:00",226.72
"2015-02-08 00:57:00",226.74
"2015-02-08 00:58:00",226.63
"2015-02-08 00:59:00",226.79
"2015-02-08 01:00:00",226.54
"2015-02-08 01:01:00",226.57
"2015-02-08 01:02:00",226.66
"2015-02-08 01:03:00",226.64
"2015-02-08 01:04:00",226.68
"2015-02-08 01:05:00",226.59
"2015-02-08 01:06:00",226.6
"2015-02-08 01:07:00",226.57
"2015-02-08 01:08:00",226.53
"2015-02-08 01:09:00",226.55
"2015-02-08 01:10:00",226.54
"2015-02-08 01:11:00",226.65
"2015-02-08 01:12:00",226.79
"2015-02-08 01:13:00",226.73
"2015-02-08 01:14:00",226.76
"2015-02-08 01:15:00",226.79
"2015-02-08 01:16:00",226.76
"2015-02-08 01:17:00",226.83
"2015-02-08 01:18:00",226.69
"2015-02-08 01:19:00",226.74
"2015-02-08 01:20:00",226.69
"2015-02-08 01:21:00",226.7
"2015-02-08 01:22:00",226.7
"2015-02-08 01:23:00",226.71
"2015-02-08 01:24:00",226.7
"2015-02-08 01:25:00",226.64
"2015-02-08 01:26:00",226.72
"2015-02-08 01:27:00",226.7
"2015-02-08 01:28:00",226.69
"2015-02-08 01:29:00",226.77
"2015-02-08 01:30:00",226.64
"2015-02-08 01:31:00",226.64
"2015-02-08 01:32:00",226.62
"2015-02-08 01:33:00",226.66
"2015-02-08 01:34:00",226.74
"2015-02-08 01:35:00",226.66
"2015-02-08 01:36:00",226.61
"2015-02-08 01:37:00",226.65
"2015-02-08 01:38:00",226.62
"2015-02-08 01:39:00",226.7
"2015-02-08 01:40:00",226.81
"2015-02-08 01:41:00",226.8
"2015-02-08 01:42:00",226.65
"2015-02-08 01:43:00",226.67
"2015-02-08 01:44:00",226.69
"2015-02-08 01:45:00",226.78
"2015-02-08 01:46:00",226.69
"2015-02-08 01:47:00",226.65
"2015-02-08 01:48:00",226.66
"2015-02-08 01:49:00",226.59
"2015-02-08 01:50:00",226.43
"2015-02-08 01:51:00",226.27
"2015-02-08 01:52:00",226.13
"2015-02-08 01:53:00",226.13
"2015-02-08 01:54:00",226.19
"2015-02-08 01:55:00",226.22
